route_id,service_id,trip_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id,wheelchair_accessible,bikes_allowed
40,13454,05820134542162098,Brigata Sassari (CTM Point),Brigata Sassari (CTM Point),0,,40A03X582,,
1Q,13441,05820134412162075,Brigata Sassari (CTM Point),Brigata Sassari (CTM Point),1,,01QR02X582,,
1,13415,05820134152159030,Flavio Gioia (fronte scuola),Flavio Gioia (fronte scuola),0,,01A11X582,,
10,13412,05820134122163532,Is Guadazzonis (Ospedale),Is Guadazzonis (Ospedale),0,,10A91X582,,
20,13446,05820134462159378,Buoncammino (ang.  via Belvedere),Buoncammino (ang.  via Belvedere),0,,20A31X582,,
8,13389,05820133892156636,_,_,1,,08R27X582,,
6,13453,05820134532155947,Andorra,Andorra,0,,06A11X582,,
9,13452,05820134522164850,Stazione Decimomannu,Stazione Decimomannu,1,,09R91X582,,
30R,13429,05820134292159995,Matteotti (capolinea 30 - 31),Matteotti (capolinea 30 - 31),1,,30RR1X582,,
9,13452,05820134522164932,Assemini (S. Lucia),Assemini (S. Lucia),1,,09R92X582,,
3,13389,05820133892158719,Del Sole (Capolinea 3),Del Sole (Capolinea 3),1,,03R31X582,,
9,13452,05820134522164742,Roma (ang. via Sassari),Roma (ang. via Sassari),0,,09A81X582,,
3,13398,05820133982160175,Del Sole (Capolinea 3),Del Sole (Capolinea 3),1,,03R31X582,,
M,13455,05820134552162147,Gottardo,Gottardo,0,,00MA21X582,,
1,13415,05820134152162501,Ospedale Brotzu (capolinea 1) ,Ospedale Brotzu (capolinea 1) ,1,,01R53X582,,
3,13453,05820134532157739,Del Sole (Capolinea 3),Del Sole (Capolinea 3),1,,03R31X582,,
3,13398,05820133982160150,Abruzzi (cimitero S. Michele),Abruzzi (cimitero S. Michele),0,,03A11X582,,
1,13389,05820133892163729,Ospedale Brotzu (capolinea 1) ,Ospedale Brotzu (capolinea 1) ,1,,01R52X582,,
19,13422,05820134222160586,IV Novembre,IV Novembre,0,,19A31X582,,
7,13399,05820133992162701,Yenne (fronte via Azuni),Yenne (fronte via Azuni),0,,07A52X582,,
7,13399,05820133992162718,Yenne (fronte via Azuni),Yenne (fronte via Azuni),0,,07A52X582,,
QEX,13460,05820134602163902,Matteotti,Matteotti,1,,QEXR01X582,,
41,13450,05820134502161188,Brigata Sassari (CTM Point),Brigata Sassari (CTM Point),0,,41A01X582,,
GSS,13440,05820134402157123,Porto Canale,Porto Canale,1,,GSSR41X582,,
M,13439,05820134392162883,Gottardo,Gottardo,0,,00MA21X582,,
M,13455,05820134552160935,Gottardo,Gottardo,0,,00MA21X582,,
1,13389,05820133892163701,Flavio Gioia (fronte scuola),Flavio Gioia (fronte scuola),0,,01A11X582,,
20,13433,05820134332158032,Buoncammino (ang.  via Belvedere),Buoncammino (ang.  via Belvedere),0,,20A31X582,,
PQ,13382,05820133822159818,Matteotti (capolinea PF - PQ),Matteotti (capolinea PF - PQ),1,,60QR51X582,,
QSA,13384,05820133842163372,4 Novembre (fronte via Fiume),4 Novembre (fronte via Fiume),0,,50AA05X582,,
9,13465,05820134652164957,Roma (ang. via Sassari),Roma (ang. via Sassari),0,,09A81X582,,
1,13389,05820133892163793,Flavio Gioia (fronte scuola),Flavio Gioia (fronte scuola),0,,01A11X582,,
8,13453,05820134532155753,Matteotti,Matteotti,1,,08R26X582,,
M,13453,05820134532162635,Matteotti,Matteotti,1,,00MR21X582,,
M,13453,05820134532162539,Matteotti,Matteotti,1,,00MR21X582,,
5-11,13439,05820134392162992,Cinquini (parco San Michele),Cinquini (parco San Michele),1,,511R7X582,,
M,13455,05820134552159766,Matteotti,Matteotti,1,,00MR21X582,,
8,13389,05820133892161493,Policlinico Universitario,Policlinico Universitario,0,,08A21X582,,
QSA,13439,05820134392162959,Policlinico Universitario,Policlinico Universitario,1,,50AR04X582,,
M,13453,05820134532160319,Ciusa,Ciusa,1,,00MR23X582,,
6,13453,05820134532155812,Andorra,Andorra,0,,06A11X582,,
30R,13429,05820134292159177,Matteotti (capolinea 30 - 31),Matteotti (capolinea 30 - 31),1,,30RR1X582,,
19,13422,05820134222160573,IV Novembre,IV Novembre,0,,19A31X582,,
1Q,13419,05820134192163286,Ninfee (Terramala),Ninfee (Terramala),0,,01QA02X582,,
8,13453,05820134532155732,Matteotti,Matteotti,1,,08R26X582,,
41,13407,05820134072157632,Brigata Sassari (CTM Point),Brigata Sassari (CTM Point),0,,41A02X582,,
30,13401,05820134012158241,Matteotti (capolinea 30 - 31),Matteotti (capolinea 30 - 31),1,,30R21X582,,
9,13465,05820134652165080,Stazione Decimomannu,Stazione Decimomannu,1,,09R91X582,,
QEX,13460,05820134602156860,Matteotti,Matteotti,1,,QEXR01X582,,
8A,13439,05820134392158922,Giorgino (GdF),Giorgino (GdF),1,,08AR58X582,,
9,13452,05820134522164826,Stazione Decimomannu,Stazione Decimomannu,1,,09R91X582,,
30,13401,05820134012158267,Matteotti (capolinea 30 - 31),Matteotti (capolinea 30 - 31),1,,30R21X582,,
M,13453,05820134532156793,Gottardo,Gottardo,0,,00MA21X582,,
5,13384,05820133842156003,Cinquini (parco San Michele),Cinquini (parco San Michele),1,,05R51X582,,
6,13389,05820133892158783,Andorra,Andorra,0,,06A11X582,,
1Q,13419,05820134192163279,Brigata Sassari (CTM Point),Brigata Sassari (CTM Point),1,,01QR02X582,,
3,13389,05820133892158645,Abruzzi (cimitero S. Michele),Abruzzi (cimitero S. Michele),0,,03A11X582,,
1,13398,05820133982156882,Flavio Gioia (fronte scuola),Flavio Gioia (fronte scuola),0,,01A11X582,,
QSB,13384,05820133842163249,Deliperi,Deliperi,1,,50BR11X582,,
3,13453,05820134532157796,Del Sole (Capolinea 3),Del Sole (Capolinea 3),1,,03R31X582,,
PF,13432,05820134322155609,_,_,0,,60FA03X582,,
19,13451,05820134512156296,Gobetti (Santa Lucia),Gobetti (Santa Lucia),1,,19R31X582,,
PQ,13382,05820133822159849,4 Novembre (ang. via Amsicora) ,4 Novembre (ang. via Amsicora) ,0,,60QA21X582,,
3,13398,05820133982160214,Abruzzi (cimitero S. Michele),Abruzzi (cimitero S. Michele),0,,03A11X582,,
3,13398,05820133982160230,Del Sole (Capolinea 3),Del Sole (Capolinea 3),1,,03R31X582,,
1Q,13441,05820134412162074,Brigata Sassari (CTM Point),Brigata Sassari (CTM Point),1,,01QR02X582,,
40,13454,05820134542162100,Brigata Sassari (CTM Point),Brigata Sassari (CTM Point),0,,40A03X582,,
16,13430,05820134302156568,M.C.T.C.,M.C.T.C.,1,,16R11X582,,
1,13415,05820134152162479,Flavio Gioia (fronte scuola),Flavio Gioia (fronte scuola),0,,01A11X582,,
20,13433,05820134332157984,Buoncammino (ang.  via Belvedere),Buoncammino (ang.  via Belvedere),0,,20A31X582,,
3,13453,05820134532157218,Abruzzi (cimitero S. Michele),Abruzzi (cimitero S. Michele),0,,03A11X582,,
20,13433,05820134332157999,Buoncammino (ang.  via Belvedere),Buoncammino (ang.  via Belvedere),0,,20A31X582,,
M,13453,05820134532162570,Ciusa,Ciusa,1,,00MR23X582,,
41,13450,05820134502161162,Brigata Sassari (CTM Point),Brigata Sassari (CTM Point),0,,41A01X582,,
13,13383,05820133832161242,_,_,0,,13A21X582,,
13,13383,05820133832161239,_,_,1,,13R21X582,,
8,13453,05820134532155760,Policlinico Universitario,Policlinico Universitario,0,,08A21X582,,
8,13389,05820133892162115,Policlinico Universitario,Policlinico Universitario,0,,08A21X582,,
3,13453,05820134532157244,Abruzzi (cimitero S. Michele),Abruzzi (cimitero S. Michele),0,,03A11X582,,
M,13455,05820134552160992,Gottardo,Gottardo,0,,00MA21X582,,
9,13452,05820134522164756,Roma (ang. via Sassari),Roma (ang. via Sassari),0,,09A81X582,,
5-11,13439,05820134392164540,Calamosca,Calamosca,0,,511A61X582,,
5,13384,05820133842164498,Vergine di Lluc (capolinea 5),Vergine di Lluc (capolinea 5),0,,05A61X582,,
40,13403,05820134032162787,Brigata Sassari (CTM Point),Brigata Sassari (CTM Point),0,,40A02X582,,
GSS,13440,05820134402157106,Sassari,Sassari,0,,GSSA61X582,,
30,13401,05820134012158238,Matteotti (capolinea 30 - 31),Matteotti (capolinea 30 - 31),1,,30R13X582,,
30,13401,05820134012158271,Matteotti (capolinea 30 - 31),Matteotti (capolinea 30 - 31),1,,30R21X582,,
1,13389,05820133892163875,Ospedale Brotzu (capolinea 1) ,Ospedale Brotzu (capolinea 1) ,1,,01R53X582,,
5,13384,05820133842164495,Vergine di Lluc (capolinea 5),Vergine di Lluc (capolinea 5),0,,05A61X582,,
1,13415,05820134152162440,Flavio Gioia (fronte scuola),Flavio Gioia (fronte scuola),0,,01A11X582,,
3,13453,05820134532157779,Del Sole (Capolinea 3),Del Sole (Capolinea 3),1,,03R31X582,,
3,13453,05820134532157801,Del Sole (Capolinea 3),Del Sole (Capolinea 3),1,,03R31X582,,
8,13453,05820134532161638,Policlinico Universitario,Policlinico Universitario,0,,08A21X582,,
M,13455,05820134552159662,Matteotti,Matteotti,1,,00MR21X582,,
M,13455,05820134552159613,Gottardo,Gottardo,0,,00MA21X582,,
15,13429,05820134292163012,Fosse Ardeatine (fronte giardini ex Vetreria),Fosse Ardeatine (fronte giardini ex Vetreria),0,,15A11X582,,
QEX,13412,05820134122161041,Matteotti,Matteotti,1,,QEXR01X582,,
30,13401,05820134012165668,Dante,Dante,0,,30A32X582,,
31R,13397,05820133972165547,Brigata Sassari,Brigata Sassari,0,,31RA11X582,,
9,13447,05820134472164594,Roma (ang. via Sassari),Roma (ang. via Sassari),0,,09A81X582,,
7,13399,05820133992162698,Yenne (fronte via Azuni),Yenne (fronte via Azuni),0,,07A52X582,,
15,13429,05820134292163003,Fosse Ardeatine (fronte giardini ex Vetreria),Fosse Ardeatine (fronte giardini ex Vetreria),0,,15A11X582,,
8H,13464,05820134642164316,Decio Mure,Decio Mure,0,,08HA21X582,,
13,13385,05820133852164376,_,_,1,,13R21X582,,
13,13385,05820133852164407,_,_,1,,13R21X582,,
M,13455,05820134552160960,Matteotti,Matteotti,1,,00MR21X582,,
1,13415,05820134152158990,Flavio Gioia (fronte scuola),Flavio Gioia (fronte scuola),0,,01A11X582,,
19,13451,05820134512156292,IV Novembre,IV Novembre,0,,19A31X582,,
29,13449,05820134492156433,San Benedetto (fronte Buon Pastore),San Benedetto (fronte Buon Pastore),1,,29R01X582,,
3,13389,05820133892158699,Del Sole (Capolinea 3),Del Sole (Capolinea 3),1,,03R31X582,,
10,13412,05820134122163545,Is Guadazzonis (Ospedale),Is Guadazzonis (Ospedale),0,,10A91X582,,
3,13453,05820134532157240,Abruzzi (cimitero S. Michele),Abruzzi (cimitero S. Michele),0,,03A11X582,,
QS,13398,05820133982160055,Lungosaline,Lungosaline,0,,50A31X582,,
QSA,13384,05820133842158139,Cittadella Universitaria,Cittadella Universitaria,1,,50AR01X582,,
41,13450,05820134502161193,Brigata Sassari (CTM Point),Brigata Sassari (CTM Point),0,,41A01X582,,
QSA,13384,05820133842158154,Cittadella Universitaria,Cittadella Universitaria,1,,50AR01X582,,
8,13453,05820134532155777,Policlinico Universitario,Policlinico Universitario,0,,08A21X582,,
6,13453,05820134532155915,Andorra,Andorra,0,,06A11X582,,
1,13400,05820134002159092,Ospedale Brotzu (capolinea 1) ,Ospedale Brotzu (capolinea 1) ,1,,01R52X582,,
PQ,13402,05820134022158407,Matteotti (capolinea PF - PQ),Matteotti (capolinea PF - PQ),1,,60QR51X582,,
GSS,13440,05820134402157120,Sassari,Sassari,0,,GSSA61X582,,
3,13389,05820133892158620,Abruzzi (cimitero S. Michele),Abruzzi (cimitero S. Michele),0,,03A11X582,,
10,13412,05820134122163560,Sant'Ignazio da Laconi (lato civico n.74),Sant'Ignazio da Laconi (lato civico n.74),1,,10R91X582,,
QEX,13460,05820134602163161,Matteotti,Matteotti,1,,QEXR01X582,,
7,13399,05820133992162709,Yenne (fronte via Azuni),Yenne (fronte via Azuni),0,,07A52X582,,
17,13448,05820134482161823,Gallus (fronte Torre),Gallus (fronte Torre),0,,17A21X582,,
1,13400,05820134002155523,Ospedale Brotzu (capolinea 1) ,Ospedale Brotzu (capolinea 1) ,1,,01R52X582,,
5,13384,05820133842156103,Cinquini (parco San Michele),Cinquini (parco San Michele),1,,05R51X582,,
M,13453,05820134532162592,Matteotti (capolinea M),Matteotti (capolinea M),1,,00MR12X582,,
41,13407,05820134072157645,Brigata Sassari (CTM Point),Brigata Sassari (CTM Point),0,,41A01X582,,
1L,13462,05820134622157708,Brigata Sassari (CTM Point),Brigata Sassari (CTM Point),1,,01LR01X582,,
30,13401,05820134012158223,Matteotti (capolinea 30 - 31),Matteotti (capolinea 30 - 31),1,,30R21X582,,
1,13415,05820134152159023,Ospedale Brotzu (capolinea 1) ,Ospedale Brotzu (capolinea 1) ,1,,01R52X582,,
9,13452,05820134522164844,Stazione Decimomannu,Stazione Decimomannu,1,,09R91X582,,
9,13452,05820134522164918,Assemini (S. Lucia),Assemini (S. Lucia),1,,09R92X582,,
3,13398,05820133982160139,Del Sole (Capolinea 3),Del Sole (Capolinea 3),1,,03R31X582,,
3,13398,05820133982160188,Abruzzi (cimitero S. Michele),Abruzzi (cimitero S. Michele),0,,03A11X582,,
19,13451,05820134512156276,IV Novembre,IV Novembre,0,,19A31X582,,
PF,13432,05820134322155587,Flumini ,Flumini ,0,,60FA01X582,,
17,13448,05820134482161834,San Gottardo (stazione Treni),San Gottardo (stazione Treni),1,,17R21X582,,
1Q,13419,05820134192163309,Brigata Sassari (CTM Point),Brigata Sassari (CTM Point),1,,01QR02X582,,
QEX,13460,05820134602163923,Matteotti,Matteotti,1,,QEXR01X582,,
PF,13396,05820133962159503,Matteotti (Fronte Stazione ARST),Matteotti (Fronte Stazione ARST),1,,60FR51X582,,
3,13453,05820134532157730,Del Sole (Capolinea 3),Del Sole (Capolinea 3),1,,03R31X582,,
3,13453,05820134532157714,Abruzzi (cimitero S. Michele),Abruzzi (cimitero S. Michele),0,,03A11X582,,
5-11,13439,05820134392159271,Calamosca (Capolinea 511),Calamosca (Capolinea 511),0,,511A2X582,,
9,13465,05820134652164963,Roma (ang. via Sassari),Roma (ang. via Sassari),0,,09A81X582,,
6,13398,05820133982159866,Andorra,Andorra,0,,06A11X582,,
6,13398,05820133982159870,Andorra,Andorra,0,,06A11X582,,
5-11,13439,05820134392164545,Calamosca,Calamosca,0,,511A61X582,,
1,13398,05820133982156958,Ospedale Brotzu (capolinea 1) ,Ospedale Brotzu (capolinea 1) ,1,,01R52X582,,
M,13455,05820134552162144,Gottardo,Gottardo,0,,00MA21X582,,
PQ,13402,05820134022158395,4 Novembre (ang. via Amsicora) ,4 Novembre (ang. via Amsicora) ,0,,60QA21X582,,
40,13403,05820134032162833,Brigata Sassari (CTM Point),Brigata Sassari (CTM Point),0,,40A02X582,,
QSA,13384,05820133842163339,4 Novembre (fronte via Fiume),4 Novembre (fronte via Fiume),0,,50AA05X582,,
30R,13429,05820134292160032,Matteotti (capolinea 30 - 31),Matteotti (capolinea 30 - 31),1,,30RR1X582,,
30,13401,05820134012157936,Matteotti (capolinea 30 - 31),Matteotti (capolinea 30 - 31),1,,30R21X582,,
5,13384,05820133842164453,Vergine di Lluc (capolinea 5),Vergine di Lluc (capolinea 5),0,,05A61X582,,
5,13384,05820133842156030,Vergine di Lluc (capolinea 5),Vergine di Lluc (capolinea 5),0,,05A03X582,,
5-11,13439,05820134392164575,Calamosca,Calamosca,0,,511A61X582,,
40,13403,05820134032162799,Brigata Sassari (CTM Point),Brigata Sassari (CTM Point),0,,40A02X582,,
30,13401,05820134012158275,Matteotti (capolinea 30 - 31),Matteotti (capolinea 30 - 31),1,,30R21X582,,
6,13389,05820133892165953,_,_,1,,06R31X582,,
1,13389,05820133892163789,Flavio Gioia (fronte scuola),Flavio Gioia (fronte scuola),0,,01A11X582,,
1,13389,05820133892163855,Ospedale Brotzu (capolinea 1) ,Ospedale Brotzu (capolinea 1) ,1,,01R52X582,,
9,13452,05820134522164795,Roma (ang. via Sassari),Roma (ang. via Sassari),0,,09A82X582,,
9,13452,05820134522164805,Roma (ang. via Sassari),Roma (ang. via Sassari),0,,09A82X582,,
10,13412,05820134122163611,Sant'Ignazio da Laconi (lato civico n.74),Sant'Ignazio da Laconi (lato civico n.74),1,,10R91X582,,
1,13415,05820134152158964,Flavio Gioia (fronte scuola),Flavio Gioia (fronte scuola),0,,01A11X582,,
M,13453,05820134532160253,Gottardo,Gottardo,0,,00MA21X582,,
M,13453,05820134532160263,Gottardo,Gottardo,0,,00MA21X582,,
P,13386,05820133862164305,Stazione (capolinea 9),Stazione (capolinea 9),1,,0PR03X582,,
1,13398,05820133982157005,Ospedale Brotzu (capolinea 1) ,Ospedale Brotzu (capolinea 1) ,1,,01R52X582,,
29,13449,05820134492156421,Policlinico Universitario,Policlinico Universitario,0,,29A15X582,,
QEX,13412,05820134122161044,Matteotti,Matteotti,1,,QEXR01X582,,
10,13410,05820134102160901,Is Guadazzonis (Ospedale),Is Guadazzonis (Ospedale),0,,10A91X582,,
10,13410,05820134102160883,Alghero (ang. via Sonnino),Alghero (ang. via Sonnino),1,,10R93X582,,
9,13452,05820134522164728,Roma (ang. via Sassari),Roma (ang. via Sassari),0,,09A81X582,,
3,13398,05820133982160168,Del Sole (Capolinea 3),Del Sole (Capolinea 3),1,,03R31X582,,
M,13455,05820134552159709,Gottardo,Gottardo,0,,00MA22X582,,
19,13422,05820134222160571,Gobetti (Santa Lucia),Gobetti (Santa Lucia),1,,19R31X582,,
1,13400,05820134002155550,Ospedale Brotzu (capolinea 1) ,Ospedale Brotzu (capolinea 1) ,1,,01R52X582,,
QEX,13412,05820134122161009,Matteotti,Matteotti,1,,QEXR01X582,,
10,13410,05820134102160854,Sant'Ignazio da Laconi (lato civico n.74),Sant'Ignazio da Laconi (lato civico n.74),1,,10R91X582,,
9,13452,05820134522164879,Stazione Decimomannu,Stazione Decimomannu,1,,09R91X582,,
3,13389,05820133892158554,Del Sole (Capolinea 3),Del Sole (Capolinea 3),1,,03R31X582,,
1,13389,05820133892163819,Flavio Gioia (fronte scuola),Flavio Gioia (fronte scuola),0,,01A11X582,,
30R,13429,05820134292165501,Dante,Dante,0,,30RA11X582,,
30,13401,05820134012165660,Brigata Sassari (Banca),Brigata Sassari (Banca),0,,30A31X582,,
30,13401,05820134012165637,Brigata Sassari (Banca),Brigata Sassari (Banca),0,,30A31X582,,
30,13401,05820134012165611,Brigata Sassari (Banca),Brigata Sassari (Banca),0,,30A31X582,,
1,13400,05820134002155518,Flavio Gioia (fronte scuola),Flavio Gioia (fronte scuola),0,,01A11X582,,
13,13385,05820133852164422,_,_,0,,13A21X582,,
13,13385,05820133852164375,_,_,1,,13R21X582,,
10,13410,05820134102160917,Sant'Ignazio da Laconi (lato civico n.74),Sant'Ignazio da Laconi (lato civico n.74),1,,10R91X582,,
3,13398,05820133982160166,Del Sole (Capolinea 3),Del Sole (Capolinea 3),1,,03R31X582,,
6,13389,05820133892161433,Andorra,Andorra,0,,06A11X582,,
29,13449,05820134492156425,San Benedetto (fronte Buon Pastore),San Benedetto (fronte Buon Pastore),1,,29R01X582,,
9,13452,05820134522164705,Roma (ang. via Sassari),Roma (ang. via Sassari),0,,09A81X582,,
1,13398,05820133982156956,Ospedale Brotzu (capolinea 1) ,Ospedale Brotzu (capolinea 1) ,1,,01R52X582,,
1,13398,05820133982156944,Flavio Gioia (fronte scuola),Flavio Gioia (fronte scuola),0,,01A11X582,,
1,13400,05820134002155418,Flavio Gioia (fronte scuola),Flavio Gioia (fronte scuola),0,,01A11X582,,
UEX,13435,05820134352156542,Policlinico Universitario,Policlinico Universitario,0,,U_EA02X582,,
10,13410,05820134102160795,Sant'Ignazio da Laconi (lato civico n.74),Sant'Ignazio da Laconi (lato civico n.74),1,,10R91X582,,
1,13400,05820134002155514,Flavio Gioia (fronte scuola),Flavio Gioia (fronte scuola),0,,01A11X582,,
9,13452,05820134522164748,Roma (ang. via Sassari),Roma (ang. via Sassari),0,,09A81X582,,
M,13453,05820134532156790,Gottardo,Gottardo,0,,00MA21X582,,
30,13401,05820134012157948,Matteotti (capolinea 30 - 31),Matteotti (capolinea 30 - 31),1,,30R21X582,,
M,13439,05820134392162937,Ciusa,Ciusa,1,,00MR23X582,,
20,13446,05820134462159413,Piero della Francesca (fronte Centro Commerciale),Piero della Francesca (fronte Centro Commerciale),1,,20R31X582,,
M,13453,05820134532162525,Gottardo,Gottardo,0,,00MA21X582,,
30R,13429,05820134292159178,Matteotti (capolinea 30 - 31),Matteotti (capolinea 30 - 31),1,,30RR1X582,,
QEX,13412,05820134122163407,Matteotti,Matteotti,1,,QEXR01X582,,
QEX,13412,05820134122163421,Matteotti,Matteotti,1,,QEXR01X582,,
15,13429,05820134292163018,Fosse Ardeatine (fronte giardini ex Vetreria),Fosse Ardeatine (fronte giardini ex Vetreria),0,,15A11X582,,
1,13415,05820134152162382,Ospedale Brotzu (capolinea 1) ,Ospedale Brotzu (capolinea 1) ,1,,01R52X582,,
41,13458,05820134582162357,Brigata Sassari (CTM Point),Brigata Sassari (CTM Point),0,,41A01X582,,
31R,13397,05820133972165550,Brigata Sassari,Brigata Sassari,0,,31RA11X582,,
QEX,13460,05820134602165726,Brigata Sassari,Brigata Sassari,0,,QEXA11X582,,
1,13400,05820134002155441,Ospedale Brotzu (capolinea 1) ,Ospedale Brotzu (capolinea 1) ,1,,01R52X582,,
3,13453,05820134532157776,Del Sole (Capolinea 3),Del Sole (Capolinea 3),1,,03R31X582,,
9,13452,05820134522164888,Assemini (S. Lucia),Assemini (S. Lucia),1,,09R92X582,,
PQ,13382,05820133822159807,4 Novembre (ang. via Amsicora) ,4 Novembre (ang. via Amsicora) ,0,,60QA21X582,,
20,13433,05820134332157977,Piero della Francesca (fronte Centro Commerciale),Piero della Francesca (fronte Centro Commerciale),1,,20R31X582,,
QEX,13460,05820134602163966,Matteotti,Matteotti,1,,QEXR01X582,,
1Q,13441,05820134412162081,Ninfee (Terramala),Ninfee (Terramala),0,,01QA02X582,,
1,13389,05820133892163889,Flavio Gioia (fronte scuola),Flavio Gioia (fronte scuola),0,,01A11X582,,
1,13398,05820133982156970,Ospedale Brotzu (capolinea 1) ,Ospedale Brotzu (capolinea 1) ,1,,01R52X582,,
3,13389,05820133892158616,Del Sole (Capolinea 3),Del Sole (Capolinea 3),1,,03R31X582,,
1Q,13441,05820134412162064,Ninfee (Terramala),Ninfee (Terramala),0,,01QA02X582,,
9,13452,05820134522164903,Assemini (S. Lucia),Assemini (S. Lucia),1,,09R92X582,,
30R,13429,05820134292160017,Matteotti (capolinea 30 - 31),Matteotti (capolinea 30 - 31),1,,30RR1X582,,
1,13398,05820133982160046,Ospedale Brotzu (capolinea 1) ,Ospedale Brotzu (capolinea 1) ,1,,01R53X582,,
15,13384,05820133842158468,Fosse Ardeatine (fronte giardini ex Vetreria),Fosse Ardeatine (fronte giardini ex Vetreria),0,,15A11X582,,
1,13389,05820133892163866,Flavio Gioia (fronte scuola),Flavio Gioia (fronte scuola),0,,01A11X582,,
1,13389,05820133892163783,Ospedale Brotzu (capolinea 1) ,Ospedale Brotzu (capolinea 1) ,1,,01R52X582,,
